Source,Target,Weight,Direction of correlation,Correlation P-value,PD-associated
Methanobrevibacter_smithii,Succinatimonas_hippei,0.1119,-,0.003,Yes
Methanobrevibacter_smithii,Citrobacter_amalonaticus,0.0898,-,0.016,Yes
Methanobrevibacter_smithii,Citrobacter_farmeri,0.0628,-,0.032,Yes
Methanobrevibacter_smithii,Citrobacter_koseri,0.0611,-,0.027,Yes
Methanobrevibacter_smithii,Citrobacter_pasteurii,0.0984,-,0.003,Yes
Methanobrevibacter_smithii,Citrobacter_portucalensis,0.0993,-,0.014,Yes
Methanobrevibacter_smithii,Enterobacter_mori,0.1216,-,0.001,Yes
Methanobrevibacter_smithii,Kluyvera_ascorbata,0.1372,-,0.001,Yes
Methanobrevibacter_smithii,Pluralibacter_gergoviae,0.1158,-,0.004,Yes
Methanobrevibacter_smithii,Raoultella_ornithinolytica,0.1145,-,0.009,Yes
Methanobrevibacter_smithii,Raoultella_planticola,0.118,-,0.001,Yes
Methanobrevibacter_smithii,Morganella_morganii,0.0594,-,0.046,Yes
Methanobrevibacter_smithii,Proteus_mirabilis,0.1137,-,0.017,Yes
Methanobrevibacter_smithii,Aggregatibacter_segnis,0.1154,-,0.002,Yes
Methanobrevibacter_smithii,Haemophilus_sputorum,0.1248,-,0.002,Yes
Methanobrevibacter_smithii,Pseudomonas_fragi,0.1153,-,0.001,Yes
Methanobrevibacter_smithii,Pseudomonas_helleri,0.1225,-,0.001,Yes
Methanobrevibacter_smithii,Cloacibacillus_evryensis,0.4496,+,0.001,Yes
Methanobrevibacter_smithii,Cloacibacillus_porcorum,0.1371,+,0.009,Yes
Methanobrevibacter_smithii,Fretibacterium_fastidiosum,0.1142,-,0.001,Yes
Methanobrevibacter_smithii,Akkermansia_muciniphila,0.1391,+,0.026,Yes
Methanobrevibacter_smithii,Saccharomyces_cerevisiae,0.1227,-,0.005,Yes
Methanosphaera_stadtmanae,Bifidobacterium_longum,0.1005,-,0.048,Yes
Methanosphaera_stadtmanae,Atopobium_deltae,0.1087,+,0.015,No
Methanosphaera_stadtmanae,Olsenella_scatoligenes,0.1302,+,0.011,No
Methanosphaera_stadtmanae,Gordonibacter_pamelaeae,0.1746,-,0.006,No
Methanosphaera_stadtmanae,Slackia_isoflavoniconvertens,0.1411,+,0.009,No
Methanosphaera_stadtmanae,Bacteroides_faecis,0.0944,+,0.049,No
Methanosphaera_stadtmanae,Bacteroides_faecis_CAG_32,0.1829,+,0.006,Yes
Methanosphaera_stadtmanae,Bacteroides_galacturonicus,0.0976,+,0.04,No
Methanosphaera_stadtmanae,Bacteroides_intestinalis,0.164,+,0.005,No
Methanosphaera_stadtmanae,Coprobacter_secundus,0.1029,+,0.023,No
Methanosphaera_stadtmanae,Prevotella_sp_885,0.1049,+,0.036,No
Methanosphaera_stadtmanae,Prevotella_sp_CAG_279,0.1151,+,0.022,No
Methanosphaera_stadtmanae,Prevotella_stercorea,0.1373,+,0.03,No
Methanosphaera_stadtmanae,Alistipes_inops,0.1745,+,0.004,No
Methanosphaera_stadtmanae,Parabacteroides_goldsteinii,0.1262,+,0.015,No
Methanosphaera_stadtmanae,Gemella_sanguinis,0.1017,-,0.029,No
Methanosphaera_stadtmanae,Enterococcus_avium,0.0273,+,0.038,Yes
Methanosphaera_stadtmanae,Enterococcus_faecium,0.0985,+,0.039,Yes
Methanosphaera_stadtmanae,Lactobacillus_fuchuensis,0.032,+,0.025,No
Methanosphaera_stadtmanae,Leuconostoc_carnosum,0.0281,+,0.039,No
Methanosphaera_stadtmanae,Streptococcus_oralis,0.097,-,0.04,No
Methanosphaera_stadtmanae,Streptococcus_parasanguinis,0.1047,-,0.038,No
Methanosphaera_stadtmanae,Streptococcus_sobrinus,0.1446,+,0.003,No
Methanosphaera_stadtmanae,Streptococcus_vestibularis,0.1207,-,0.016,Yes
Methanosphaera_stadtmanae,Clostridium_butyricum,0.0321,+,0.026,No
Methanosphaera_stadtmanae,Clostridium_sp_CAG_167,0.1078,+,0.031,No
Methanosphaera_stadtmanae,Clostridium_sp_CAG_413,0.1302,+,0.024,No
Methanosphaera_stadtmanae,Bacteroides_pectinophilus,0.2051,+,0.001,No
Methanosphaera_stadtmanae,Intestinimonas_butyriciproducens,0.1214,-,0.017,No
Methanosphaera_stadtmanae,Eubacterium_sp_OM08_24,0.1401,+,0.01,No
Methanosphaera_stadtmanae,Blautia_sp_CAG_257,0.1123,-,0.022,No
Methanosphaera_stadtmanae,Butyrivibrio_crossotus,0.2105,+,0.004,No
Methanosphaera_stadtmanae,Butyrivibrio_sp_CAG_318,0.1483,+,0.021,No
Methanosphaera_stadtmanae,Clostridium_asparagiforme,0.1003,-,0.032,No
Methanosphaera_stadtmanae,Clostridium_bolteae,0.1663,-,0.002,No
Methanosphaera_stadtmanae,Clostridium_citroniae,0.1482,-,0.002,No
Methanosphaera_stadtmanae,Clostridium_symbiosum,0.11,-,0.038,No
Methanosphaera_stadtmanae,Lachnoclostridium_sp_An138,0.1207,+,0.021,No
Methanosphaera_stadtmanae,Lachnospira_pectinoschiza,0.1471,+,0.004,No
Methanosphaera_stadtmanae,Oscillibacter_sp_CAG_241,0.099,+,0.047,No
Methanosphaera_stadtmanae,Anaerotruncus_colihominis,0.1431,-,0.007,No
Methanosphaera_stadtmanae,Flavonifractor_plautii,0.1343,-,0.023,No
Methanosphaera_stadtmanae,Flavonifractor_sp_An10,0.1394,+,0.012,No
Methanosphaera_stadtmanae,Ruminococcus_sp_CAG_330,0.1169,+,0.043,No
Methanosphaera_stadtmanae,Ruthenibacterium_lactatiformans,0.1253,-,0.028,Yes
Methanosphaera_stadtmanae,Clostridium_innocuum,0.1152,-,0.026,Yes
Methanosphaera_stadtmanae,Holdemanella_biformis,0.1618,+,0.004,No
Methanosphaera_stadtmanae,Firmicutes_bacterium_CAG_110,0.1818,+,0.003,No
Methanosphaera_stadtmanae,Firmicutes_bacterium_CAG_145,0.1287,-,0.011,No
Methanosphaera_stadtmanae,Firmicutes_bacterium_CAG_170,0.1139,+,0.036,No
Methanosphaera_stadtmanae,Firmicutes_bacterium_CAG_238,0.0319,+,0.025,No
Methanosphaera_stadtmanae,Firmicutes_bacterium_CAG_95,0.1065,+,0.039,No
Methanosphaera_stadtmanae,Phascolarctobacterium_succinatutens,0.1031,+,0.042,No
Methanosphaera_stadtmanae,Mitsuokella_jalaludinii,0.0992,+,0.022,No
Methanosphaera_stadtmanae,Mitsuokella_multacida,0.076,+,0.025,No
Methanosphaera_stadtmanae,Desulfovibrio_fairfieldensis,0.132,+,0.011,No
Methanosphaera_stadtmanae,Desulfovibrio_piger,0.1164,+,0.028,No
Methanosphaera_stadtmanae,Desulfovibrionaceae_bacterium,0.1351,+,0.015,No
Methanosphaera_stadtmanae,Citrobacter_portucalensis,0.0263,+,0.042,No
Methanosphaera_stadtmanae,Hafnia_paralvei,0.2629,+,0.001,No
Methanosphaera_stadtmanae,Morganella_morganii,0.1388,+,0.006,No
Methanosphaera_stadtmanae,Blastocystis_sp_subtype_1,0.0927,+,0.024,No
Candidatus_Methanomassiliicoccus_intestinalis,Actinobaculum_sp_oral_taxon_183,0.14,+,0.01,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Actinomyces_oris,0.1897,+,0.002,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Actinomyces_sp_oral_taxon_170,0.2005,+,0.001,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Bifidobacterium_dentium,0.1444,+,0.01,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Bifidobacterium_longum,0.1333,+,0.009,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Bifidobacterium_saeculare,0.0942,+,0.04,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Atopobium_vaginae,0.0948,+,0.049,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Porphyromonas_uenonis,0.0912,+,0.036,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Prevotella_bivia,0.096,+,0.037,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Prevotella_buccalis,0.0899,+,0.023,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Alistipes_indistinctus,0.1574,+,0.003,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Alistipes_inops,0.1201,+,0.038,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Candidatus_Gastranaerophilales_bacterium,0.1153,+,0.019,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Gemella_haemolysans,0.1828,+,0.003,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Leuconostoc_lactis,0.0618,+,0.041,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Streptococcus_agalactiae,0.0254,-,0.048,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Clostridium_sp_CAG_299,0.0998,-,0.047,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Clostridium_sp_CAG_58,0.1077,-,0.047,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Mogibacterium_diversum,0.1054,+,0.04,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Clostridiales_bacterium_1_7_47FAA,0.1078,-,0.042,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Monoglobus_pectinilyticus,0.1137,+,0.039,Yes
Candidatus_Methanomassiliicoccus_intestinalis,Eubacterium_sp_An11,0.1173,+,0.025,Yes
